isbn,bookid,bookname,author,publish,releaseDate
11002·256,B_1958_000199,伟大十月和东方各国人民（论文集）,[苏]阿·阿·古别尔　主编,生活·读书·新知三联书店,-349862400000
17002·17,B_1958_000233,“资本论”索引,[日]长谷部文雄　鬼冢安雄　编,生活·读书·新知三联书店,-360403200000
4002·140,B_1958_000242,工业经济和技术进步,[苏]涅克拉索夫　著,生活·读书·新知三联书店,-365673600000
2002·113,B_1958_000263,论历史唯物主义,[德]梅林　著,生活·读书·新知三联书店,-357724800000
3002·50,B_1958_000265,无产阶级专政,[德]考茨基　著,生活·读书·新知三联书店,-363081600000
3001·530,B_1958_000328,苏联共产党代表大会、代表会议和中央全会决议汇编（第五分册）,中共中央马克思 恩格斯 列宁 斯大林著作编译局  译,人民出版社,-373622400000
3001·617,B_1959_000040,苏联共产党第二十一次代表大会主要文件,,人民出版社,-344505600000
4002·153,B_1959_000120,“资本论”入门（上册）,[日]河上肇　著,生活·读书·新知三联书店,-336816000000
4002·155,B_1959_000138,政治经济学史,[苏]卢森贝　著,生活·读书·新知三联书店,-339408000000
2002·114,B_1959_000151,普列汉诺夫哲学著作选集（第一卷）,,生活·读书·新知三联书店,-334137600000
6004·290,B_1959_000177,什么是无产阶级专政,[苏]契廖姆内赫　著,法律出版社,-334137600000
2030,B_1959_000184,德意志民主共和国历史译文集,“历史研究”编辑部　编译,科学出版社,-318326400000
3001·627,B_1960_000128,苏联共产党第二十一次非常代表大会文献速记记录（下册）,,人民出版社,-315648000000
11002·245,B_1960_000131,巴黎公社活动家传略,[苏]卢利耶　著,生活·读书·新知三联书店,-312969600000
11002·266,B_1960_000134,社会主义时期苏联史（1917—1957年）,[苏]基姆　主编,生活·读书·新知三联书店,-315648000000
11002·273,B_1960_000135,苏维埃俄国与资本主义世界1917—1923年,[苏]伊·伊·明茨　主编,生活·读书·新知三联书店,-312969600000
11002·280,B_1960_000136,第一国际和第二国际,[苏]克利沃古斯　斯切茨凯维奇　著,生活·读书·新知三联书店,-302515200000
4001·272,B_1960_000150,苏联国民经济史（第三卷 社会主义）,[苏]彼·伊·梁士琴科　著,人民出版社,-315648000000
4002·173,B_1960_000151,资产阶级人口论和人口政策的批判,[苏]斯姆列维奇　著,人民出版社,-305193600000
3001·660,B_1961_000001,苏联共产党第二十二次代表大会文件汇编（下册）, ,人民出版社,-255168000000
3001·658,B_1961_000020,苏联共产党第二十二次代表大会主要文件,,人民出版社,-257760000000
4002·175,B_1961_000050,社会主义制度下的价值规律及其作用,[苏]查果洛夫　编,生活·读书·新知三联书店,-273657600000
4002·179,B_1961_000055,“资本论”入门（下册）,[日]河上肇　著,生活·读书·新知三联书店,-257760000000
2002·146,B_1961_000060,马克思列宁主义真理论的若干问题,[波]沙夫　著,生活·读书·新知三联书店,-273657600000
11002·254,B_1961_000066,三个国际的历史,[美]威廉·福斯特　著,生活·读书·新知三联书店,-270979200000
2002·136,B_1961_000072,普列汉诺夫哲学著作选集（第二卷）,,生活·读书·新知三联书店,-263030400000
